index,AphiaID,Kingdom,Phylum,Class,Subclass,Order,Family,Genus
Madrepora oculata,135209,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora
Stenocyathus vermiformis,135208,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Stenocyathidae,Stenocyathus
Stichopathes pourtalesi,283975,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes lutkeni,283970,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes filiformis,283966,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes variabilis,283984,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes spiessi,283982,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes echinulata,283964,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes euoplos,103332,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes paucispina,283974,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes gracilis,103334,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes setacea,283979,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes occidentalis,283972,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Porifera,558,Animalia,Porifera,,,,,
Gorgonacea,1366,Animalia,Cnidaria,Anthozoa,Octocorallia,Gorgonacea,,
Stylasteridae,22805,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae
Polymyces fragilis,290837,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces
Pennatulacea,1367,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,,
Cladocora debilis,135147,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Scleractinia incertae sedis,Cladocora
Madracis myriaster,287111,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Scleractinia,1363,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,,
Vaughanella margaritata,286898,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella
Javania antarctica,173056,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania borealis,287032,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania cailleti,135198,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Dasmosmilia variegata,135153,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Dasmosmilia
Javania californica,287033,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania lamprotichum,287037,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania exserta,287034,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Pourtalocyathus hispidus,290848,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Schizocyathidae,Pourtalocyathus
Gardineria hawaiiensis,287443,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Gardineriidae,Gardineria
Polymyces montereyensis,290838,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces
Enallopsammia rostrata,135190,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Enallopsammia
Crispatotrochus squiresi,289745,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Crispatotrochus
Paracyathus molokensis,286823,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus
Premocyathus cornuformis,135167,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Premocyathus
Madracis kauaiensis,208944,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Eguchipsammia serpentina,286985,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia
Peponocyathus folliculus,135216,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Peponocyathus
Labyrinthocyathus quaylei,290268,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus
Oculina tenella,287100,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina
Solenosmilia variabilis,135168,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Solenosmilia
Eguchipsammia fistula,286983,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia
Astrangia rathbuni,287124,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Rhizangiidae,Astrangia
Enallopsammia profunda,157965,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Enallopsammia
Astrangia poculata,157967,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Rhizangiidae,Astrangia
Caryophylliidae,135073,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,
Truncatoflabellum truncum,287068,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum
Tubastraea micranthus,291255,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Tubastraea
Turbinaria peltata,207512,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Turbinaria
Vaughanella concinna,135177,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella
Vaughanella oreophila,286900,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella
Vaughanella multipalifera,286899,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella
Deltocyathus corrugatus,286793,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Eguchipsammia japonica,286984,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia
Eguchipsammia gaditana,135189,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia
Endopachys grayi,289891,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Endopachys
Dendrophylliidae,135074,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,
Madrepora porcellana,287095,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora
Deltocyathus crassiseptum,286794,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Paracyathus stearnsii,286830,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus
Dendrophyllia arbuscula,210746,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia
Aulocyathus atlanticus,135132,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Aulocyathus
Lochmaeotrochus oculeus,290317,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Lochmaeotrochus
Monohedotrochus capitolii,492269,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Monohedotrochus
Aulocyathus juvenescens,286720,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Aulocyathus
Aulocyathus recidivus,286722,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Aulocyathus
Monohedotrochus circularis,492270,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Monohedotrochus
Monohedotrochus epithecatus,492272,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Monohedotrochus
Javania insignis,287036,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania cristata,736239,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Deltocyathus cameratus,286792,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Letepsammia formosissima,290286,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Micrabaciidae,Letepsammia
Deltocyathoides orientalis,287127,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Deltocyathoides
Peponocyathus minimus,287129,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Peponocyathus
Deltocyathus andamanicus,286790,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Notophyllia hecki,290501,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Notophyllia
Notophyllia recta,290503,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Notophyllia
Pourtalosmilia conferta,286849,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Pourtalosmilia
Labyrinthocyathus langae,290266,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus
Schizocyathus fissilis,135207,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Schizocyathidae,Schizocyathus
Rhizosmilia gerdae,290973,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia
Oxysmilia corrugata,290563,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Oxysmilia
Paraconotrochus antarcticus,290632,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paraconotrochus
Oxysmilia rotundifolia,290565,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Oxysmilia
Polycyathus senegalensis,286847,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Polycyathus
Phyllangia pequegnatae,287747,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Phyllangia
Labyrinthocyathus facetus,290265,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus
Paraconotrochus capense,290633,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paraconotrochus
Paraconotrochus zeidleri,290634,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paraconotrochus
Javania fusca,287035,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Concentrotheca laevigata,135151,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Concentrotheca
Paracyathus pruinosus,286828,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus
Labyrinthocyathus limatulus,290267,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus
Heterocyathus aequicostatus,216146,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Heterocyathus
Pourtalopsammia togata,290849,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Pourtalopsammia
Thalamophyllia gombergi,286867,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Thalamophyllia
Desmophyllum striatum,286811,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Desmophyllum
Deltocyathus pourtalesi,286803,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Polymyces wellsi,290839,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces
Bathypsammia fallosocialis,289502,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Bathypsammia
Thecopsammia socialis,291210,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Thecopsammia
Deltocyathus italicus,135156,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Phacelocyathus flos,290728,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Phacelocyathus
Goniocorella dumosa,290021,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Goniocorella
Eguchipsammia strigosa,286986,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia
Coenocyathus parvulus,286785,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus
Bathypsammia tintinnabulum,289503,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Bathypsammia
Heterocyathus alternatus,288862,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Heterocyathus
Leptopenus antarcticus,173390,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Micrabaciidae,Leptopenus
Cryptotrochus carolinensis,289751,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Cryptotrochus
Leptopsammia chevalieri,286989,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Leptopsammia
Tethocyathus variabilis,135173,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus
Deltocyathus eccentricus,135155,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Deltocyathus moseleyi,135157,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Phyllangia papuensis,287746,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Phyllangia
Madrepora minutiseptum,287094,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora
Madracis brueggemanni,287105,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Placotrochides frustum,135201,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Placotrochides
Madracis pharensis,135212,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Madracis asperula,135211,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Polycyathus octuplus,286844,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Polycyathus
Pourtalosmilia anthophyllites,135166,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Pourtalosmilia
Anomocora prolifera,286719,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora
Premocyathus dentiformis,286850,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Premocyathus
Cladopsammia manuelensis,286959,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Cladopsammia
Tethocyathus cylindraceus,286861,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus
Coenosmilia arbuscula,135150,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenosmilia
Tethocyathus recurvatus,286865,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus
Eguchipsammia cornucopia,135188,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia
Guynia annulata,135206,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Guyniidae,Guynia
Anomocora fecunda,135130,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora
Anomocora marchadi,286718,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora
Dendrophyllia alternata,135184,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia
Deltocyathus agassizi,286789,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Polycyathus mayae,286842,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Polycyathus
Rhizosmilia maculata,290974,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia
Deltocyathoides stimpsonii,135215,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Deltocyathoides
Tethocyathus prahli,286864,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus
Trematotrochus corbicula,291231,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Trematotrochus
Conotrochus brunneus,289705,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Conotrochus
Coenocyathus bowersi,286780,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus
Guyniidae,135077,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Guyniidae,
Heterocyathus sulcatus,288865,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Heterocyathus
Cladopsammia echinata,286956,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Cladopsammia
Javania pseudoalabastra,135199,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Dendrophyllia oldroydae,286978,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia
Cladocora arbuscula,286778,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Scleractinia incertae sedis,Cladocora
Trochopsammia infundibulum,291246,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Trochopsammia
Coenocyathus anthophyllites,135148,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus
Coenocyathus brooki,286781,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Coenocyathus
Cladopsammia eguchii,286957,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Cladopsammia
Bathycyathus chilensis,289499,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Bathycyathus
Anomocora gigas,286716,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Anomocora
Thalamophyllia tenuescens,286869,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Thalamophyllia
Rhizosmilia multipalifera,290975,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia
Rhizopsammia annae,289175,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Rhizopsammia
Rhizosmilia robusta,290976,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia
Tethocyathus virgatus,286866,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus
Tethocyathus endesa,286862,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Tethocyathus
Rhizopsammia verrilli,210737,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Rhizopsammia
Sympodangia albatrossi,291157,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Sympodangia
Anthemiphyllia macrolobata,289414,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Anthemiphylliidae,Anthemiphyllia
Crispatotrochus cornu,289735,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Crispatotrochus
Conotrochus funicolumna,289706,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Conotrochus
Labyrinthocyathus delicatus,290264,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus
Crispatotrochus curvatus,289736,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Crispatotrochus
Rhizopsammia goesi,289178,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Rhizopsammia
